model_type,agreeableness_level,sample_index,宜人性_similarity,果干_similarity
non_custom,high,0,0.3667140462633778,0.28258083862154537
non_custom,high,1,0.3007193276650833,0.24251268289062902
non_custom,high,2,0.35774632852763405,0.27705151327112587
non_custom,high,3,0.4104790965322549,0.3313698060523587
non_custom,high,4,0.4186062043137264,0.2853025311367074
non_custom,high,5,0.3805117143146742,0.25244724309526184
non_custom,high,6,0.38318157169771033,0.28430748940960726
non_custom,high,7,0.38127749905901936,0.31185574633161445
non_custom,high,8,0.424683795188167,0.3217176473817738
non_custom,high,9,0.3658198960233265,0.2886380366823532
non_custom,low,0,0.4021073168266625,0.30468693221639703
non_custom,low,1,0.41100409376042357,0.3149941750313867
non_custom,low,2,0.40973430626909707,0.3106307658380274
non_custom,low,3,0.40817922810910257,0.325489258638073
non_custom,low,4,0.3840279344735163,0.29636036337651145
non_custom,low,5,0.38490368871132413,0.3185000586113173
non_custom,low,6,0.3962186641738076,0.3159031425740881
non_custom,low,7,0.4220405878369226,0.34263056461355845
non_custom,low,8,0.398858540806959,0.3510179136367593
non_custom,low,9,0.4584935945641274,0.38247542174168037
custom,high,0,0.40823275805850295,0.3571582256103629
custom,high,1,0.40636958882359997,0.3587039734094248
custom,high,2,0.39616460754922833,0.33394695308575384
custom,high,3,0.4221373224607982,0.35189821459256687
custom,high,4,0.4214179059551106,0.35149200989827173
custom,high,5,0.4084110878790717,0.3433573871050138
custom,high,6,0.3748866151615405,0.31448170362159883
custom,high,7,0.3748168699652272,0.4024553070603262
custom,high,8,0.3857457354126696,0.3455142142096144
custom,high,9,0.3773788315232431,0.29936468046740994
custom,low,0,0.37942240775984426,0.3271320612212455
custom,low,1,0.33254468093444733,0.2778040394338823
custom,low,2,0.3959568047158474,0.35572175660245897
custom,low,3,0.3915801475648864,0.33470537722147725
custom,low,4,0.37038521672497227,0.32032266587371305
custom,low,5,0.4128993766713532,0.3563111058727284
custom,low,6,0.39605525970429184,0.3334021722332041
custom,low,7,0.4125612122524616,0.3608773812547032
custom,low,8,0.3866909673292695,0.33528266009375995
custom,low,9,0.3746088886699166,0.31798619511631143
